,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature(F),Wind Speed (mph)
57,Punta Arenas,75,CL,1553385794,81,-53.16,-70.91,53.6,9.17
58,Atuona,64,PF,1553386980,99,-9.8,-139.03,82.6,16.69
59,New Norfolk,20,AU,1553386647,52,-42.78,147.06,68.0,9.17
60,Saint-Philippe,1,CA,1553386959,50,45.36,-73.48,33.01,16.11
61,Canete,0,IT,1553386925,79,46.33,9.49,57.99,2.24
62,Cape Town,0,ZA,1553386972,93,-33.93,18.42,72.0,9.17
63,Butaritari,76,KI,1553386971,100,3.07,172.79,80.08,8.75
64,Wajir,0,KE,1553386982,52,1.75,40.07,81.07,12.66
65,Bambous Virieux,75,MU,1553386739,83,-20.34,57.76,82.4,11.41
66,Tilichiki,0,RU,1553386983,80,60.47,166.1,9.61,3.94
67,Kaitangata,76,NZ,1553386769,72,-46.28,169.85,67.48,4.38
68,Hasaki,20,JP,1553385738,100,35.73,140.83,46.0,5.82
69,San Patricio,0,PY,1553386984,74,-26.98,-56.83,67.21,3.83
70,Deputatskiy,0,RU,1553386984,48,69.3,139.9,-10.02,2.71
71,Taguisa,0,PH,1553386984,72,6.7,124.04,79.45,1.03
72,Lompoc,75,US,1553386985,82,34.64,-120.46,66.99,19.46
73,Nola,76,CF,1553386985,85,3.52,16.05,77.29,3.83
74,Aklavik,20,CA,1553385600,62,68.22,-135.01,23.0,17.22
75,Kargasok,0,RU,1553386986,78,59.06,80.87,15.91,2.37
76,Clyde River,90,CA,1553385600,82,70.47,-68.59,-16.61,18.34
77,Katsuura,40,JP,1553386716,70,33.93,134.5,48.0,10.29
78,Aripuana,12,BR,1553386987,89,-9.17,-60.63,78.46,2.71
79,Westport,64,IE,1553386703,79,53.8,-9.52,45.0,5.01
80,Kuala Terengganu,75,MY,1553382000,94,5.33,103.14,77.0,3.36
81,Khatanga,0,RU,1553386988,28,71.98,102.47,-19.38,3.15
82,Arraial do Cabo,20,BR,1553382000,88,-22.97,-42.02,73.4,2.24
83,Melun,0,FR,1553386927,93,48.54,2.66,50.0,4.7
84,Bluff,0,AU,1553386980,63,-23.58,149.07,83.86,5.61
85,Isangel,90,VU,1553382000,74,-19.55,169.27,84.2,3.36
86,Hilo,40,US,1553386771,61,19.71,-155.08,79.0,13.87
87,Aksum,0,ET,1553386989,89,14.12,38.72,52.63,2.48
88,Barrow,24,AR,1553386763,85,-38.31,-60.23,57.85,12.77
89,Komsomolskiy,88,RU,1553386990,90,67.55,63.78,19.87,18.25
90,Islamkot,8,PK,1553386990,54,24.7,70.18,68.2,4.16
91,Vaini,0,IN,1553386990,88,15.34,74.49,62.44,0.92
92,Yellowknife,20,CA,1553386651,43,62.45,-114.38,14.0,10.29
93,Tacuarembo,0,UY,1553386991,80,-31.73,-55.98,61.18,3.38
94,Te Anau,68,NZ,1553386991,62,-45.41,167.72,65.05,7.74
95,Jamestown,80,AU,1553386992,70,-33.21,138.6,71.98,14.23
96,Fairview,1,US,1553386984,26,40.81,-74.0,46.4,16.11
97,Bodden Town,20,KY,1553385604,78,19.28,-81.25,80.6,10.29
98,Esperance,20,TT,1553386808,69,10.24,-61.45,80.6,9.17
99,Christchurch,8,NZ,1553386699,72,-43.53,172.64,69.01,8.05
100,Ribeira Grande,56,PT,1553386981,100,38.52,-28.7,57.85,25.86
101,Collie,80,AU,1553386817,52,-33.36,116.15,57.99,6.4
102,Oranjemund,92,ZA,1553386994,92,-28.55,16.43,62.26,3.71
103,Rikitea,80,PF,1553386994,97,-23.12,-134.97,79.72,17.69
104,Pampa,1,US,1553386582,24,35.54,-100.96,69.8,4.7
105,Yar-Sale,8,RU,1553386995,76,66.83,70.83,7.45,3.94
106,Oussouye,0,SN,1553385600,83,12.49,-16.54,69.8,6.93
107,Altamira,76,BR,1553386996,91,-3.2,-52.21,76.75,4.38
108,Imphal,0,IN,1553386997,88,24.8,93.94,58.93,1.59
109,Karratha,64,AU,1553386943,57,-20.74,116.85,83.86,36.93
110,Tiksi,64,RU,1553386742,77,71.64,128.87,4.39,4.05
111,Portel,0,PT,1553385600,54,38.31,-7.71,55.4,5.82
112,Rocha,68,UY,1553386998,56,-34.48,-54.34,68.56,8.52
113,Dabhol,0,IN,1553386998,94,17.6,73.17,73.15,3.6
114,Humaita,0,AR,1553385600,87,-24.93,-65.37,66.2,4.7
115,Sao Filipe,0,CV,1553386999,98,14.9,-24.5,69.91,13.22
116,La Palma,48,CO,1553387000,96,5.36,-74.39,70.45,1.48
117,Tuktoyaktuk,75,CA,1553385600,72,69.44,-133.03,15.8,20.8
118,Mahebourg,75,MU,1553386739,83,-20.41,57.7,82.4,11.41
119,Bethel,40,US,1553385360,65,60.79,-161.76,44.6,12.75
120,Erdenet,0,MN,1553387001,61,49.03,104.04,19.42,6.4
121,Vila Franca do Campo,75,PT,1553386973,76,37.72,-25.43,55.4,19.46
122,Moerai,88,PF,1553387002,99,-22.43,-151.33,80.35,10.65
123,Okha,36,RU,1553387002,85,53.59,142.95,10.51,14.79
124,Shimoda,20,JP,1553386972,43,34.7,138.93,50.0,3.36
125,Biak,68,ID,1553387003,89,-0.91,122.88,81.52,2.37
126,Tagbac,20,PH,1553382000,69,7.09,125.16,80.6,8.05
127,Talnakh,64,RU,1553387004,81,69.49,88.39,5.56,6.17
128,Rawson,80,AR,1553387004,67,-43.3,-65.11,57.67,21.83
129,Abu Dhabi,64,AE,1553382000,64,24.47,54.37,75.2,3.36
130,Hearst,0,CA,1553387005,64,49.69,-83.67,38.95,7.85
131,Charters Towers,36,AU,1553387006,85,-20.07,146.27,79.0,10.54
132,Rock Sound,20,BS,1553387006,100,24.9,-76.2,74.5,15.79
133,Pathein,0,MM,1553386899,91,16.78,94.73,74.41,8.3
134,Lavrentiya,92,RU,1553387006,100,65.58,-170.99,18.07,14.67
135,East London,0,ZA,1553386868,91,-33.02,27.91,76.12,24.52
136,Parkes,8,AU,1553386795,39,-33.14,148.18,81.0,1.01
137,Port Alfred,0,ZA,1553386810,96,-33.59,26.89,71.01,1.01
138,San Quintin,0,PH,1553387008,64,17.54,120.52,73.15,4.38
139,Dingle,56,PH,1553386747,74,11.0,122.67,77.56,14.67
140,Lashio,0,MM,1553387008,88,22.93,97.75,60.64,1.81
141,Faya,0,SA,1553382000,50,18.39,42.45,59.0,4.7
142,Verkhnyaya Toyma,92,RU,1553387009,89,62.24,45.0,29.5,10.42
143,Nakhon Phanom,48,LA,1553387009,71,17.4,104.79,73.33,5.73
144,Bar Harbor,90,US,1553386965,59,44.39,-68.2,37.99,11.41
145,Dergachi,92,RU,1553386749,97,51.24,48.77,34.0,4.94
146,Camacha,20,PT,1553385600,72,33.08,-16.33,60.8,9.17
147,Champerico,40,MX,1553381520,38,16.38,-93.6,89.6,14.99
148,Saint George,0,GR,1553381400,81,39.45,22.34,44.6,4.16
149,Fortuna,0,ES,1553387008,81,38.18,-1.13,55.4,5.82
150,Cayenne,0,GF,1553383800,83,4.94,-52.33,78.8,3.36
151,Kapaa,90,US,1553386708,78,22.08,-159.32,80.6,17.22
152,Saldanha,0,PT,1553387011,68,41.42,-6.55,44.8,4.94
153,Kendari,64,ID,1553387011,99,-3.99,122.52,77.83,3.71
154,Srandakan,24,ID,1553387012,96,-7.94,110.25,75.22,4.05
155,Caravelas,76,BR,1553386981,100,-17.73,-39.27,82.06,16.69
156,Fare,8,PF,1553387012,100,-16.7,-151.02,84.58,10.54
157,Husavik,0,CA,1553386854,74,50.56,-96.99,44.01,9.75
158,Palana,0,RU,1553387013,52,59.08,159.95,25.9,6.73
159,Aleksandrov Gay,68,RU,1553387013,85,50.14,48.57,33.46,5.06
160,Warmbad,20,DE,1553387012,100,50.67,13.08,48.0,2.24
161,Tasiilaq,0,GL,1553385000,47,65.61,-37.64,14.0,5.82
162,Kathmandu,20,NP,1553385000,87,27.71,85.32,51.8,3.36
163,Port Hardy,40,CA,1553382000,58,50.7,-127.42,53.6,6.93
164,Reconquista,0,AR,1553387014,83,-29.14,-59.64,64.96,2.93
165,Sibolga,88,ID,1553386722,100,1.74,98.78,69.82,1.14
166,Maryville,90,US,1553386701,76,40.35,-94.87,55.0,10.29
167,Bull Savanna,24,JM,1553387015,59,17.89,-77.59,76.93,5.61
168,Svetlogorsk,92,RU,1553383800,92,53.14,59.15,19.4,2.24
169,Castro,90,CL,1553382000,82,-42.48,-73.76,55.4,1.12
170,Grindavik,40,IS,1553386602,100,63.84,-22.43,34.0,5.82
171,Coihaique,20,CL,1553382000,66,-45.58,-72.07,55.4,3.36
172,Oksfjord,44,NO,1553383200,68,70.24,22.35,32.0,10.29
173,Thompson,5,CA,1553385600,47,55.74,-97.86,12.2,13.87
174,Cidreira,0,BR,1553386729,93,-30.17,-50.22,64.15,6.85
175,Isoka,24,ZM,1553387019,92,-10.15,32.64,62.8,3.71
176,Innisfail,90,CA,1553386816,100,52.02,-113.95,39.0,11.41
177,Quelimane,88,MZ,1553386873,95,-17.88,36.89,75.58,6.4
178,Pinar del Rio,80,CU,1553387020,45,22.42,-83.7,77.83,4.72
179,Broome,80,GB,1553386717,86,52.47,1.45,44.01,3.83
180,Baruun-Urt,24,MN,1553387020,51,46.68,113.28,24.46,10.2
181,Mar del Plata,0,AR,1553386816,81,-46.43,-67.52,54.16,4.16
182,Chenghai,90,CN,1553382000,100,23.46,116.77,57.2,6.71
183,Beringovskiy,88,RU,1553387021,94,63.05,179.32,12.76,19.82
184,Hualmay,24,PE,1553387021,79,-11.1,-77.61,70.81,4.94
185,Mildura,92,AU,1553386514,88,-34.18,142.16,71.01,5.82
186,Belaya Gora,44,RU,1553387022,80,68.54,146.19,-4.71,4.38
187,Nongstoin,0,IN,1553387023,84,25.52,91.27,51.82,1.14
188,Kearney,90,US,1553386613,93,40.7,-99.08,53.6,11.41
189,Rio Bravo,40,GT,1553386804,94,14.4,-91.32,77.0,6.93
190,Antofagasta,0,CL,1553382000,72,-23.65,-70.4,66.2,8.05
191,College,75,US,1553386847,37,64.86,-147.8,53.01,4.16
192,Paraiso,0,MX,1553386816,17,24.01,-104.61,73.0,11.01
193,Los Llanos de Aridane,20,ES,1553386802,59,28.66,-17.92,62.6,12.75
194,Sapouy,32,BF,1553387026,17,11.55,-1.77,82.33,7.52
195,Kloulklubed,75,PW,1553381400,83,7.04,134.26,78.8,11.77
196,Pevek,0,RU,1553386871,78,69.7,170.27,-7.86,1.7
197,Quatre Cocos,75,MU,1553386739,83,-20.21,57.76,82.4,11.41
198,Rabaul,64,PG,1553387027,100,-4.2,152.17,80.44,2.93
199,Makat,80,KZ,1553387028,77,47.65,53.35,40.3,4.05
200,Alugan,36,PH,1553387028,87,12.22,125.48,78.91,12.44
201,Lebu,75,ET,1553382000,44,8.96,38.73,60.8,4.7
202,Haverfordwest,92,GB,1553386816,75,51.8,-4.97,46.99,4.7
203,Omaruru,92,NA,1553387029,35,-21.42,15.95,74.41,1.59
204,Thinadhoo,48,MV,1553387030,100,0.53,72.93,84.4,7.63
205,Dong Hoi,92,VN,1553386950,100,17.48,106.6,72.34,15.01
206,Maldonado,20,UY,1553382000,68,-34.91,-54.96,68.0,5.82
207,Kasangulu,75,CD,1553385600,94,-4.59,15.17,71.6,2.48
208,Maisach,0,DE,1553386988,84,48.22,11.26,39.99,2.24
209,Etchoropo,0,MX,1553386659,45,26.77,-109.67,78.01,10.87
210,Guarapari,75,BR,1553384985,83,-20.67,-40.5,77.0,8.05
211,Udachnyy,32,RU,1553387032,64,66.42,112.4,-4.89,3.71
212,Floro,92,NO,1553386853,80,61.6,5.03,41.0,10.29
213,Seoul,1,KR,1553385000,59,37.57,126.98,35.6,2.24
214,Dauphin,1,CA,1553385600,74,51.15,-100.04,37.4,23.04
215,Tsabong,20,BW,1553387033,33,-26.02,22.4,78.28,15.35
216,Sola,75,NO,1553386802,86,58.89,5.65,42.01,9.17
217,Yarada,20,IN,1553382000,88,17.65,83.27,78.8,2.24
218,Touros,40,BR,1553382000,83,-5.2,-35.46,82.4,6.93
219,Ouargaye,32,BF,1553387035,18,11.5,0.06,80.8,8.19
220,Rome,0,IT,1553387026,80,41.89,12.48,55.99,3.36
221,Wanning,0,AT,1553386990,81,48.64,13.53,46.99,8.05
222,Moron,0,VE,1553387036,70,10.49,-68.2,73.33,3.38
223,Galle,90,US,1553387024,68,29.74,-97.91,72.0,10.29
224,Maceio,20,BR,1553382000,83,-9.67,-35.74,80.6,8.05
225,Emporia,90,US,1553386801,76,38.4,-96.18,54.0,10.29
226,Port Blair,0,IN,1553386959,100,11.67,92.75,81.7,8.86
227,Margate,20,AU,1553386647,52,-43.03,147.26,68.0,9.17
228,Bonthe,68,SL,1553387038,76,7.53,-12.5,81.34,3.6
229,Bredasdorp,92,ZA,1553386581,83,-34.53,20.04,69.8,3.36
230,Atar,0,MR,1553387038,56,20.52,-13.05,60.91,4.38
231,Sorland,92,NO,1553387038,99,67.67,12.69,39.94,45.1
232,Koltubanovskiy,12,RU,1553387039,80,52.94,52.03,16.63,4.72
233,Aasiaat,68,GL,1553387039,100,68.71,-52.87,0.43,24.18
234,Waddan,0,LY,1553387039,67,29.16,16.14,49.75,5.95
235,İzmit,40,TR,1553385000,92,40.76,29.93,37.4,3.71
236,Launceston,0,AU,1553386819,59,-41.43,147.14,66.99,14.99
237,Dubbo,56,AU,1553383800,51,-32.25,148.6,82.4,8.05
238,Paris,40,FR,1553386625,87,48.86,2.35,50.0,5.82
239,Leh,76,IN,1553386994,79,34.16,77.58,0.88,1.7
240,Santiago,0,CL,1553386848,38,-33.44,-70.65,77.0,3.36
241,Clinton,1,US,1553386889,53,41.84,-90.19,52.0,6.93
242,Kenora,20,CA,1553386968,75,49.76,-94.48,46.4,5.82
243,Port Hedland,90,AU,1553383800,94,-20.31,118.58,78.8,41.38
244,Ambilobe,64,MG,1553387043,98,-13.19,49.05,72.52,2.71
245,Gazanjyk,32,TM,1553387043,92,39.24,55.52,38.77,2.71
246,Ponta do Sol,68,BR,1553386840,87,-20.63,-46.0,69.91,2.82
247,Arlit,48,NE,1553387044,30,18.74,7.39,71.53,7.18
248,Kot Samaba,92,PK,1553387044,74,28.55,70.47,65.68,11.77
249,Portobelo,20,PA,1553386639,51,9.55,-79.65,84.2,14.99
250,Zaysan,0,KZ,1553387045,59,47.47,84.87,14.38,2.26
251,Feijo,75,EC,1553382000,88,-3.63,-79.92,89.6,3.36
252,Mount Gambier,90,AU,1553382000,100,-37.83,140.78,60.8,8.05
253,Shingu,20,JP,1553382000,61,33.72,135.99,46.4,13.87
254,Galesong,20,ID,1553383800,94,-5.32,119.37,80.6,2.24
255,Shurob,0,TJ,1553387046,89,40.05,70.55,34.9,1.92
256,Alice Springs,100,AU,1553383800,45,-23.7,133.88,86.0,16.11
257,Qandala,0,SO,1553387047,97,11.47,49.87,66.58,4.83
258,Dudinka,88,RU,1553387047,80,69.41,86.18,11.95,11.88
259,Igrim,8,RU,1553387047,77,63.19,64.42,16.18,3.38
260,Bayonne,1,US,1553386955,26,40.67,-74.11,46.4,16.11
261,Tinlot,75,BE,1553387032,93,50.48,5.38,48.99,8.05
262,Guerrero Negro,0,MX,1553386992,57,27.97,-114.04,67.21,12.55
263,Ugoofaaru,32,MV,1553387048,96,5.67,73.0,85.66,8.97
264,Kahului,40,US,1553386645,54,20.89,-156.47,82.4,26.4
265,Upernavik,24,GL,1553387049,100,72.79,-56.15,-10.56,8.75
266,Olkhovka,68,RU,1553387049,82,53.21,60.61,29.59,2.93
267,Doha,36,QA,1553383800,83,25.29,51.53,71.6,5.82
268,Tres Picos,0,MX,1553387049,36,16.23,-93.58,84.4,2.82
269,Waingapu,56,ID,1553387050,87,-9.65,120.26,79.63,6.73
270,Graaff-Reinet,88,ZA,1553387050,80,-32.25,24.53,62.35,2.37
271,Nome,90,US,1553387018,60,30.04,-94.42,69.01,6.93
272,Kidodi,12,TZ,1553387051,71,-7.6,37.0,74.95,3.83
273,Walvis Bay,0,NA,1553385726,77,-22.95,14.51,64.0,8.05
274,Kavieng,64,PG,1553386999,99,-2.57,150.8,84.22,6.4
275,Kaka,0,TM,1553387052,85,37.35,59.62,28.96,2.59
276,Kiunga,12,PG,1553387052,82,-6.12,141.3,80.98,2.93
277,Dmitriyevka,92,GE,1553387053,100,43.08,41.0,31.3,2.59
278,Maniitsoq,64,GL,1553387053,76,65.42,-52.9,10.96,20.04
279,Kalino,0,PL,1553386979,87,51.66,19.56,46.0,6.93
280,Beatrice,75,US,1553386820,66,40.27,-96.75,55.99,11.41
281,Boende,76,CD,1553387054,100,-0.28,20.88,72.88,1.36
282,Pisco,75,PE,1553382000,30,-13.71,-76.2,71.6,19.46
283,Podgornoye,56,RU,1553387055,82,57.79,82.64,22.48,2.26
284,Muisne,75,EC,1553382000,83,0.61,-80.02,80.6,4.7
285,Gweta,0,BW,1553387055,53,-20.21,25.26,73.15,15.46
286,Kampot,20,KH,1553383800,88,10.62,104.18,78.8,6.93
287,Mogzon,0,RU,1553387056,71,51.74,111.97,20.5,10.42
288,Araouane,36,ML,1553387056,16,18.9,-3.53,72.61,8.75
289,Beyla,68,GN,1553386615,75,8.69,-8.65,75.0,3.83
290,Half Moon Bay,1,US,1553386900,67,37.46,-122.43,62.6,13.87
291,Sept-Iles,75,CA,1553386702,63,50.2,-66.38,28.99,11.41
292,Sayyan,0,YE,1553387057,85,15.17,44.32,46.33,1.14
293,Puerto Varas,0,CL,1553384940,81,-41.32,-72.98,53.6,4.7
294,Lazaro Cardenas,5,MX,1553386834,12,28.39,-105.62,78.8,17.22
295,Nishihara,20,JP,1553387006,39,35.74,139.53,53.01,4.7
296,Kaspiyskiy,80,RU,1553387059,100,45.39,47.37,39.58,9.98
297,Rio Gallegos,0,AR,1553382000,87,-51.62,-69.22,51.8,4.7
298,Bani,0,PH,1553387059,88,15.89,120.27,76.75,5.84
299,Pacific Grove,40,US,1553387034,58,36.62,-121.92,63.0,12.75
300,Statesboro,1,US,1553386858,45,32.45,-81.78,66.2,3.49
301,Uyuni,92,BO,1553387060,20,-20.46,-66.82,56.68,8.3
302,Bathsheba,40,BB,1553382000,69,13.22,-59.52,78.8,13.87
303,Saint-Augustin,0,FR,1553387049,81,44.83,-0.61,53.01,1.12
304,Barcelos,0,PT,1553386862,62,41.53,-8.62,60.01,5.82
305,Hamilton,5,CA,1553387023,74,43.26,-79.87,37.99,10.29
306,Portland,1,US,1553386785,50,45.52,-122.67,60.8,3.36
307,Brae,92,GB,1553385000,80,60.4,-1.35,42.8,33.33
308,Thabazimbi,0,ZA,1553386594,66,-24.59,27.41,69.01,1.01
309,Panguna,44,PG,1553387063,82,-6.32,155.48,83.5,2.26
310,Saint-Francois,0,FR,1553386584,86,46.42,3.91,39.2,2.59
311,Parsabad,68,AZ,1553382000,100,39.65,47.92,41.0,6.93
312,Russell,0,AR,1553385600,53,-33.01,-68.8,73.4,3.36
313,Narsaq,24,GL,1553385000,47,60.91,-46.05,14.0,1.12
314,Sawakin,0,SD,1553382000,64,19.1,37.33,75.2,4.7
315,Yulara,20,AU,1553382000,34,-25.24,130.99,82.4,12.75
316,Fort Nelson,75,CA,1553385600,56,58.81,-122.69,42.8,3.38
317,Porto Velho,75,BR,1553382000,88,-8.75,-63.87,78.8,1.12
318,Loyga,88,RU,1553387066,92,61.08,44.61,26.98,16.58
319,Souillac,0,FR,1553387049,62,45.6,-0.6,54.0,3.36
320,Porto da Folha,44,BR,1553387066,94,-9.92,-37.28,73.33,2.93
321,Bandarbeyla,92,SO,1553387067,100,9.49,50.81,79.63,9.42
322,Amahai,36,ID,1553387067,100,-3.31,129.0,81.61,6.4
323,Oyama,20,JP,1553387006,55,36.31,139.8,51.01,6.93
324,Rio Grande,0,BR,1553387068,94,-32.03,-52.1,67.66,10.2
325,Chokurdakh,36,RU,1553387068,72,70.62,147.9,-6.15,4.38
326,Ladysmith,20,ZA,1553387068,91,-28.55,29.78,59.83,2.59
327,Vila Velha,75,BR,1553386699,94,-3.71,-38.6,79.0,6.93
328,Haines Junction,68,CA,1553387069,57,60.75,-137.51,40.93,5.61
329,Conceicao da Barra,100,BR,1553387069,100,-18.59,-39.73,78.19,11.65
330,Shimsk,12,RU,1553387070,93,58.21,30.71,41.11,8.75
331,Koulikoro,0,ML,1553385600,37,12.86,-7.56,86.0,8.63
332,Vincennes,1,US,1553386841,60,38.68,-87.53,54.0,3.71
333,Kihei,40,US,1553387034,54,20.76,-156.45,82.4,26.4
334,Saint Thomas,1,US,1553387049,49,29.89,-91.01,69.01,8.05
335,Mareeba,75,AU,1553387001,79,-16.99,145.42,84.2,6.93
336,Tura,0,IN,1553386913,78,25.52,90.21,56.68,3.15
337,Lichinga,92,MZ,1553386995,97,-13.3,35.25,66.31,3.38
338,Porto Walter,0,BR,1553387072,92,-8.27,-72.74,77.38,1.48
339,Belmonte,0,PT,1553386628,56,40.36,-7.35,54.0,7.4
340,Buala,56,SB,1553387072,86,-8.15,159.59,84.31,6.85
341,Mozarlandia,0,BR,1553387072,90,-14.74,-50.57,74.86,4.5
342,Xining,8,CN,1553387073,68,36.62,101.77,16.0,2.48
343,Frunze,0,UA,1553387073,72,46.83,29.88,31.93,7.29
344,Longyearbyen,20,NO,1553385000,72,78.22,15.63,17.6,12.75
345,Amga,44,RU,1553387074,52,60.89,131.98,6.82,3.94
346,Awjilah,0,LY,1553387075,75,29.14,21.3,59.92,9.98
347,Strani,0,CZ,1553387047,93,48.9,17.71,44.01,4.7
348,Ziniare,0,BF,1553385600,13,12.58,-1.3,86.0,3.36
349,Bintulu,75,MY,1553382000,94,3.17,113.03,77.0,3.36
350,Glencoe,0,ZA,1553387076,95,-28.17,30.16,54.07,2.04
351,Koumac,44,NC,1553387076,80,-20.56,164.28,82.24,9.08
352,Santa Lucia,5,IT,1553385300,47,39.93,9.66,57.2,9.17
353,Sao Joao da Barra,0,BR,1553382000,78,-21.64,-41.05,77.0,4.7
354,Burgeo,64,CA,1553387078,89,47.61,-57.61,33.01,19.15
355,Prince Rupert,75,CA,1553385600,62,54.32,-130.32,51.8,8.05
356,Mkokotoni,76,TZ,1553387078,100,-5.88,39.25,82.33,7.74
357,Karatuzskoye,0,RU,1553387080,68,53.61,92.87,19.69,2.82
358,Milan,0,IT,1553386864,66,45.47,9.19,57.0,2.24
359,Labuhan,88,ID,1553387080,95,-2.54,115.51,75.13,0.36
360,Freeport,20,BS,1553382000,60,26.54,-78.7,73.4,6.93
361,Sao Borja,0,BR,1553386827,61,-28.66,-56.0,70.45,6.17
362,Manoel Urbano,44,BR,1553387081,85,-8.84,-69.26,79.09,2.82
363,West Fargo,1,US,1553386854,94,46.88,-96.9,39.99,6.93
364,Tautira,75,PF,1553386988,70,-17.73,-149.15,87.8,9.17
365,Copiapo,0,CL,1553382000,72,-27.37,-70.33,62.6,8.05
366,Maumere,68,ID,1553387082,96,-8.63,122.22,83.05,13.67
367,Sitka,0,US,1553386588,48,37.17,-99.65,64.0,1.01
368,Lagoa,0,PT,1553387030,72,37.14,-8.45,59.0,10.29
369,Codrington,0,AU,1553387054,73,-28.95,153.24,84.0,3.36
370,Gazli,64,UZ,1553386905,89,40.13,63.45,48.49,5.95
371,Kongwa,8,TZ,1553387084,93,-6.19,36.41,63.61,3.83
372,Mount Isa,90,AU,1553383800,74,-20.73,139.49,80.6,18.34
373,Ostrovnoy,0,RU,1553387085,85,68.05,39.51,30.58,21.05
374,Salalah,40,OM,1553381400,78,17.01,54.1,78.8,8.05
